Quarterly,Total Return,Price Return,Index.1,Income Return,Dividend Yield
1971Q4,0.0,0.0,100.0,0.0,0.0
1972Q1,0.8066666666666666,0.27,100.79666666666667,0.5366666666666666,6.406666666666666
1972Q2,-0.4166666666666667,-0.9500000000000001,99.0,0.5333333333333333,6.966666666666666
1972Q3,1.55,0.92,99.65000000000002,0.6366666666666667,7.283333333333334
1972Q4,1.6500000000000004,1.0566666666666666,103.68333333333332,0.5933333333333334,7.22
1973Q1,-1.5033333333333336,-2.143333333333333,98.93333333333332,0.6433333333333334,7.963333333333334
1973Q2,-2.33,-3.0,89.92,0.6733333333333333,8.493333333333334
1973Q3,1.163333333333333,0.4499999999999999,87.54,0.7133333333333333,8.81
1973Q4,-7.113333333333332,-7.866666666666667,78.59999999999998,0.7533333333333333,10.123333333333335
1974Q1,1.3333333333333333,0.3866666666666667,71.46,0.9466666666666667,11.356666666666667
1974Q2,-9.026666666666666,-10.03,56.166666666666664,1.0066666666666666,17.883333333333336
1974Q3,-5.390000000000001,-6.603333333333334,43.52333333333333,1.2166666666666666,16.596666666666668
1974Q4,-3.56,-4.74,39.38333333333333,1.1766666666666667,15.340000000000002
1975Q1,11.716666666666667,10.596666666666666,44.839999999999996,1.12,12.223333333333334
1975Q2,1.4533333333333331,0.5433333333333333,44.919999999999995,0.9133333333333334,11.673333333333334
1975Q3,-2.953333333333333,-3.8333333333333335,44.54333333333333,0.8799999999999999,11.770000000000001
1975Q4,1.8933333333333333,1.0166666666666666,41.449999999999996,0.8733333333333334,11.746666666666668
1976Q1,5.863333333333333,4.990000000000001,49.29,0.8733333333333334,9.726666666666667
1976Q2,0.03999999999999996,-0.6866666666666666,48.49666666666667,0.7233333333333333,8.923333333333334
1976Q3,3.1366666666666667,2.3833333333333333,50.576666666666675,0.75,8.393333333333333
1976Q4,4.806666666666667,4.14,54.86333333333334,0.6666666666666666,8.063333333333333
1977Q1,0.57,-0.10666666666666667,58.586666666666666,0.6766666666666667,7.823333333333333
1977Q2,2.5399999999999996,1.8966666666666667,60.196666666666665,0.65,7.786666666666666
1977Q3,0.9533333333333333,0.3033333333333334,62.949999999999996,0.65,7.743333333333333
1977Q4,1.9233333333333331,1.2566666666666666,63.330000000000005,0.6666666666666666,8.003333333333332
1978Q1,0.5966666666666666,-0.03333333333333336,62.78,0.6233333333333334,8.303333333333333
1978Q2,-0.49666666666666665,-1.1500000000000001,62.836666666666666,0.6566666666666666,8.386666666666667
1978Q3,2.7266666666666666,1.96,64.67333333333333,0.7633333333333333,8.246666666666668
1978Q4,-3.086666666666666,-3.76,58.24,0.6699999999999999,9.456666666666665
1979Q1,5.126666666666667,4.283333333333333,63.166666666666664,0.8433333333333333,9.01
1979Q2,3.046666666666667,2.3266666666666667,67.58,0.7200000000000001,8.67
1979Q3,3.276666666666666,2.503333333333334,75.28000000000002,0.7733333333333333,8.053333333333333
1979Q4,-1.8133333333333332,-2.5,68.44333333333334,0.6833333333333332,9.219999999999999
1980Q1,-2.5333333333333337,-3.4066666666666663,69.23,0.8733333333333334,9.603333333333333
1980Q2,7.310000000000001,4.81,68.64,2.5,9.75
1980Q3,2.7900000000000005,2.0133333333333336,76.51,0.7800000000000001,8.786666666666667
1980Q4,1.55,0.8166666666666668,79.21333333333332,0.7333333333333333,8.88
1981Q1,2.8433333333333337,2.0566666666666666,79.26333333333334,0.79,9.03
1981Q2,0.2933333333333333,-0.40999999999999986,80.57333333333334,0.7066666666666667,9.063333333333333
1981Q3,-3.4033333333333338,-4.19,75.80666666666666,0.7866666666666667,9.883333333333333
1981Q4,3.35,2.533333333333333,76.19666666666666,0.8133333333333334,10.036666666666667
1982Q1,-0.8033333333333333,-1.6166666666666665,73.57000000000001,0.8066666666666666,10.313333333333333
1982Q2,-0.7233333333333333,-1.5766666666666669,71.85666666666667,0.8533333333333334,10.833333333333334
1982Q3,5.273333333333333,4.36,75.23666666666668,0.9133333333333334,10.453333333333335
1982Q4,5.836666666666667,5.023333333333333,89.27,0.8133333333333334,9.2
1983Q1,4.4366666666666665,3.626666666666667,95.88333333333333,0.8099999999999999,8.926666666666668
1983Q2,1.4800000000000002,0.79,104.91000000000001,0.6833333333333332,8.326666666666666
1983Q3,0.029999999999999954,-0.6699999999999999,100.96,0.7000000000000001,8.719999999999999
1983Q4,1.82,1.1033333333333333,104.01999999999998,0.7200000000000001,8.556666666666667
1984Q1,0.15333333333333332,-0.6366666666666667,103.70333333333333,0.7866666666666667,9.046666666666667
1984Q2,-0.4366666666666666,-1.18,100.77,0.7433333333333333,9.370000000000001
1984Q3,3.1233333333333335,1.9000000000000001,101.40333333333332,1.2166666666666666,9.466666666666667
1984Q4,1.8966666666666665,1.1533333333333333,107.90333333333332,0.7399999999999999,9.056666666666667
1985Q1,2.2133333333333334,1.3266666666666664,113.58666666666666,0.8833333333333333,9.11
1985Q2,1.71,1.0,114.26333333333332,0.7133333333333334,9.076666666666666
1985Q3,-2.5533333333333332,-3.2833333333333337,110.23000000000002,0.73,9.51
1985Q4,0.7133333333333334,-0.07999999999999989,105.73000000000002,0.7966666666666665,9.703333333333333
1986Q1,3.3666666666666667,2.6633333333333336,110.92,0.7066666666666667,8.916666666666666
1986Q2,1.1833333333333333,0.44666666666666677,113.2,0.7366666666666667,8.853333333333333
1986Q3,0.7400000000000001,0.02666666666666669,115.89,0.7166666666666668,8.673333333333334
1986Q4,0.6933333333333334,-0.0733333333333334,116.45,0.77,8.493333333333334
1987Q1,1.7933333333333332,1.1,117.88666666666666,0.6966666666666667,8.28
1987Q2,-0.5566666666666668,-1.2633333333333334,113.56,0.7066666666666667,8.796666666666667
1987Q3,-1.2833333333333332,-2.1,110.03000000000002,0.8166666666666668,9.33
1987Q4,-3.2600000000000002,-4.266666666666667,91.42666666666666,1.0066666666666666,11.036666666666667
1988Q1,3.6133333333333333,2.846666666666667,100.56333333333333,0.77,9.97
1988Q2,0.7533333333333333,-0.050000000000000044,100.10666666666667,0.8033333333333333,9.856666666666667
1988Q3,0.09333333333333332,-0.6666666666666666,99.76666666666667,0.7633333333333333,9.74
1988Q4,-0.7399999999999999,-1.5999999999999999,95.23333333333333,0.8566666666666668,9.903333333333334
1989Q1,-0.4066666666666667,-1.19,91.78666666666668,0.7833333333333332,9.776666666666666
1989Q2,1.64,0.8533333333333334,92.36,0.79,9.563333333333334
1989Q3,0.43333333333333335,-0.7600000000000001,92.56333333333333,1.1900000000000002,9.426666666666666
1989Q4,-2.2066666666666666,-3.0933333333333333,84.49666666666667,0.8866666666666667,10.08
1990Q1,-1.83,-2.73,77.61333333333334,0.9,10.776666666666666
1990Q2,-0.26666666666666666,-2.1166666666666667,72.97,1.8500000000000003,11.153333333333334
1990Q3,-4.946666666666666,-5.8066666666666675,64.43333333333334,0.86,11.853333333333332
1990Q4,0.9700000000000001,-0.16,58.56333333333333,1.1266666666666667,11.936666666666667
1991Q1,7.1000000000000005,6.260000000000001,67.02999999999999,0.8399999999999999,9.953333333333333
1991Q2,0.7166666666666668,-0.15333333333333332,71.80333333333333,0.87,9.41
1991Q3,1.3066666666666666,0.5333333333333333,71.16000000000001,0.7766666666666667,9.56
1991Q4,1.376666666666667,0.5533333333333333,71.10333333333334,0.8233333333333333,9.376666666666667
1992Q1,0.3800000000000001,-0.3033333333333334,73.77333333333333,0.6833333333333332,8.843333333333334
1992Q2,0.7433333333333335,-0.016666666666666535,72.20666666666666,0.7600000000000001,8.746666666666668
1992Q3,1.6366666666666667,0.9366666666666666,73.42,0.7000000000000001,8.44
1992Q4,1.1833333333333333,0.42,73.96666666666667,0.7633333333333333,8.11
1993Q1,6.006666666666667,5.413333333333334,83.02,0.5933333333333333,7.163333333333334
1993Q2,-0.8999999999999999,-1.4700000000000004,82.9,0.5733333333333334,6.989999999999999
1993Q3,2.883333333333333,2.3666666666666667,86.85333333333334,0.5166666666666666,6.663333333333334
1993Q4,-2.006666666666667,-2.6666666666666665,84.70333333333333,0.66,6.956666666666667
1994Q1,0.7999999999999998,0.2766666666666664,85.03333333333335,0.5266666666666666,7.18
1994Q2,0.49333333333333335,-0.10666666666666662,84.01666666666667,0.6,7.363333333333333
1994Q3,-0.5766666666666665,-1.1900000000000002,81.37333333333333,0.6133333333333333,7.6066666666666665
1994Q4,-0.26333333333333336,-0.9899999999999999,75.72666666666667,0.7333333333333334,8.24
1995Q1,0.38999999999999996,-0.3100000000000001,76.55,0.6966666666666667,8.13
1995Q2,2.1666666666666665,1.4866666666666666,78.38,0.68,7.93
1995Q3,1.6266666666666667,0.9700000000000001,81.41666666666667,0.66,7.703333333333333
1995Q4,1.55,0.8666666666666666,81.70666666666666,0.68,7.7
1996Q1,0.85,0.4000000000000001,85.72666666666667,0.4533333333333333,7.403333333333333
1996Q2,1.47,0.82,86.40333333333335,0.6566666666666667,7.5200000000000005
1996Q3,2.2233333333333336,1.6066666666666667,89.95,0.6133333333333333,7.3566666666666665
1996Q4,5.906666666666666,5.2299999999999995,99.50666666666666,0.6766666666666666,6.646666666666666
1997Q1,0.09000000000000004,-0.4266666666666667,106.56666666666666,0.5166666666666667,6.260000000000001
1997Q2,1.906666666666667,1.3533333333333335,105.70666666666666,0.5533333333333333,6.4433333333333325
1997Q3,3.5933333333333337,3.1533333333333338,114.63666666666666,0.4433333333333333,5.91
1997Q4,0.37333333333333335,-0.16,117.83999999999999,0.5299999999999999,5.783333333333334
1998Q1,-0.17333333333333334,-0.62,117.07666666666667,0.45,5.736666666666667
1998Q2,-1.5599999999999998,-2.066666666666667,111.28333333333335,0.5033333333333333,6.216666666666666
1998Q3,-3.52,-4.093333333333334,96.51333333333332,0.5766666666666667,7.116666666666667
1998Q4,-1.3033333333333335,-1.8399999999999999,92.79666666666667,0.5366666666666666,7.616666666666666
1999Q1,-1.7266666666666666,-2.32,86.62333333333333,0.5966666666666667,7.726666666666667
1999Q2,3.5100000000000002,2.883333333333333,92.94000000000001,0.6266666666666666,7.333333333333333
1999Q3,-3.19,-3.89,85.21666666666667,0.7000000000000001,8.073333333333334
1999Q4,-0.5599999999999999,-1.4266666666666667,78.06666666666666,0.8700000000000001,8.866666666666667
2000Q1,0.7566666666666668,0.11666666666666677,77.81666666666668,0.64,8.613333333333333
2000Q2,3.4299999999999997,2.75,83.95333333333333,0.6733333333333333,7.903333333333333
2000Q3,2.5833333333333335,1.9433333333333327,89.82000000000001,0.6366666666666667,7.47
2000Q4,1.2733333333333332,0.4166666666666667,87.40000000000002,0.8566666666666668,7.946666666666666
2001Q1,0.35666666666666663,-0.17666666666666672,90.65333333333335,0.5333333333333333,7.516666666666667
2001Q2,3.67,3.0500000000000003,94.88,0.62,7.23
2001Q3,-0.7833333333333332,-1.45,96.53333333333332,0.6733333333333333,7.343333333333334
2001Q4,1.7666666666666666,1.0333333333333332,94.65666666666668,0.7366666666666667,7.576666666666667
2002Q1,2.7266666666666666,2.2,99.67333333333335,0.5266666666666667,6.8999999999999995
2002Q2,1.8333333333333333,1.2466666666666668,105.75999999999999,0.5866666666666667,6.613333333333333
2002Q3,-3.0066666666666664,-3.643333333333333,99.44999999999999,0.6333333333333334,7.07
2002Q4,0.36666666666666664,-0.36000000000000004,93.67333333333335,0.73,7.436666666666667
2003Q1,0.3,-0.3066666666666667,93.00666666666666,0.6066666666666667,7.56
2003Q2,4.496666666666667,3.89,102.35000000000001,0.61,6.920000000000001
2003Q3,2.94,2.41,111.35666666666667,0.5266666666666667,6.3
2003Q4,3.3666666666666667,2.776666666666667,119.25666666666666,0.5866666666666666,5.8933333333333335
2004Q1,4.03,3.59,131.44333333333336,0.44333333333333336,5.3566666666666665
2004Q2,-1.7366666666666664,-2.24,121.23666666666666,0.5033333333333333,5.906666666666667
2004Q3,2.703333333333333,2.236666666666667,131.26666666666668,0.4666666666666666,5.483333333333333
2004Q4,4.67,4.046666666666666,145.25333333333333,0.62,5.063333333333333
2005Q1,-2.506666666666667,-2.8866666666666667,139.31333333333333,0.38000000000000006,5.36
2005Q2,4.32,3.86,148.85333333333332,0.45999999999999996,5.233333333333333
2005Q3,0.7400000000000001,0.27333333333333343,158.55999999999997,0.4633333333333334,4.933333333333333
2005Q4,0.4633333333333333,-0.07333333333333332,153.8166666666667,0.5366666666666666,5.116666666666666
2006Q1,4.4799999999999995,4.093333333333334,168.82333333333332,0.38999999999999996,4.543333333333334
2006Q2,-0.2966666666666666,-0.6999999999999998,167.35999999999999,0.4000000000000001,4.713333333333334
2006Q3,2.8033333333333332,2.4233333333333333,179.54333333333332,0.38000000000000006,4.453333333333333
2006Q4,3.186666666666667,2.7866666666666666,198.29666666666665,0.39666666666666667,4.05
2007Q1,0.8033333333333333,0.52,207.19000000000003,0.2866666666666667,3.9566666666666666
2007Q2,-2.943333333333333,-3.28,193.99,0.34,4.273333333333333
2007Q3,0.31666666666666704,-0.06666666666666643,172.60333333333332,0.3866666666666667,4.753333333333334
2007Q4,-4.073333333333333,-4.510000000000001,167.07666666666665,0.4366666666666667,4.93
2008Q1,-0.09000000000000015,-0.5066666666666669,152.47666666666666,0.4166666666666667,5.5
2008Q2,-1.4633333333333336,-1.8866666666666665,156.36,0.42333333333333334,5.443333333333334
2008Q3,1.4966666666666668,1.0233333333333334,148.27666666666667,0.47333333333333333,5.766666666666667
2008Q4,-11.956666666666669,-12.63,91.75,0.6766666666666667,8.936666666666667
2009Q1,-10.513333333333334,-11.113333333333335,67.16666666666667,0.5966666666666667,10.246666666666668
2009Q2,9.213333333333333,8.626666666666667,80.83,0.59,6.9433333333333325
2009Q3,9.59,9.13,96.10333333333334,0.45999999999999996,5.28
2009Q4,2.823333333333333,2.3733333333333335,104.29333333333334,0.4533333333333333,4.8133333333333335
2010Q1,3.266666666666667,2.856666666666667,111.46999999999998,0.4066666666666667,4.873333333333333
2010Q2,-1.09,-1.4633333333333332,120.30333333333333,0.37333333333333335,4.613333333333333
2010Q3,4.016666666666667,3.6233333333333335,123.93333333333334,0.39333333333333337,4.593333333333334
2010Q4,2.5366666666666666,2.13,131.81,0.4033333333333333,4.406666666666667
2011Q1,2.2500000000000004,1.9066666666666665,142.01333333333335,0.34,4.166666666666667
2011Q2,1.0166666666666664,0.6433333333333336,147.62333333333333,0.36999999999999994,4.16
2011Q3,-5.026666666666666,-5.403333333333333,134.67999999999998,0.37666666666666665,4.79
2011Q4,4.776666666666667,4.323333333333333,136.05,0.4566666666666667,4.796666666666667
2012Q1,3.4,3.0500000000000003,147.1966666666667,0.35000000000000003,4.353333333333333
2012Q2,1.5766666666666664,1.1866666666666668,152.50333333333333,0.3933333333333333,4.266666666666667
2012Q3,0.6233333333333332,0.27,158.13,0.35333333333333333,4.203333333333333
2012Q4,0.7433333333333335,0.34,156.15,0.39666666666666667,4.323333333333333
