quarterly,Observations,(sum) rej_count,(sum) appl_count,Applied_Accepted,Applied_Rejected,Discouraged,Appliedforoneormoretypesofcredit,Rejectedfromoneormoresourcesofcredit_givenapplied,Likelyapplytooneormoresourcesofcredit_Cat_Contin,AppliedforCreditCard,AppliedforMortage_Home-BasedLoan,AppliedforAutoLoan,RequestedIncreaseinCreditCardLimit,RequestedMortgageRefi,LikelyApplyforCreditCard_Categ_Contin,LikelyApplyforMortage_Home-BasedLoan_Categ_Contin,LikelyApplyforAutoLoan_Categ_Contin,LikelyRequestIncreaseinCreditCardLimit_Categ_Contin,LikelyRequestMortgageRefi_Categ_Contin,Closedatleastoneacctvoluntarily,Lenderclosedatleastoneacct,ChanceNeed,ChanceComeUp
2013Q4,459.6666666666667,67.33333333333333,343.3333333333333,39.333333333333336,11.666666666666666,7.666666666666667,51.0,21.333333333333332,30.333333333333332,25.333333333333332,8.0,17.0,11.0,23.333333333333332,,,,,,17.666666666666668,4.666666666666667,,
2014Q1,335.8333333333333,43.166666666666664,260.8333333333333,41.333333333333336,11.833333333333334,9.0,53.0,20.833333333333332,29.5,32.333333333333336,6.666666666666667,18.166666666666668,11.166666666666666,14.833333333333334,11.666666666666666,6.5,8.333333333333334,6.5,5.666666666666667,17.666666666666668,3.3333333333333335,,
2014Q2,350.1666666666667,45.166666666666664,253.83333333333334,41.333333333333336,10.5,7.333333333333333,52.0,19.666666666666668,29.0,30.666666666666668,8.166666666666666,15.166666666666666,12.666666666666666,12.333333333333334,7.666666666666667,7.833333333333333,10.666666666666666,4.666666666666667,9.666666666666666,18.0,5.0,,
2014Q4,361.6666666666667,46.666666666666664,239.33333333333334,36.0,11.333333333333334,6.833333333333333,47.166666666666664,23.333333333333332,33.833333333333336,28.833333333333332,5.666666666666667,15.333333333333334,10.833333333333334,8.5,8.0,5.166666666666667,9.0,4.0,7.0,17.0,5.333333333333333,,
2015Q1,353.3333333333333,44.0,253.83333333333334,37.5,10.666666666666666,7.333333333333333,48.333333333333336,20.666666666666668,30.0,29.166666666666668,7.333333333333333,17.333333333333332,13.5,7.0,12.333333333333334,8.5,12.0,6.333333333333333,13.0,17.166666666666668,3.6666666666666665,,
2015Q2,345.6666666666667,29.333333333333332,248.16666666666666,42.333333333333336,7.5,6.666666666666667,49.833333333333336,14.333333333333334,30.833333333333332,30.5,7.833333333333333,16.0,14.0,8.833333333333334,11.833333333333334,9.333333333333334,13.666666666666666,9.0,11.833333333333334,14.333333333333334,4.666666666666667,,
2015Q4,332.8333333333333,34.333333333333336,240.5,42.0,9.5,8.0,51.333333333333336,17.333333333333332,30.666666666666668,29.333333333333332,8.166666666666666,15.833333333333334,16.0,12.0,10.166666666666666,8.666666666666666,11.0,8.333333333333334,9.5,14.833333333333334,3.0,30.833333333333332,67.16666666666667
2016Q1,327.0,30.666666666666668,243.33333333333334,41.333333333333336,9.0,6.5,50.666666666666664,16.833333333333332,31.333333333333332,29.833333333333332,6.833333333333333,17.0,15.166666666666666,12.166666666666666,12.166666666666666,7.666666666666667,12.166666666666666,7.333333333333333,9.333333333333334,15.333333333333334,4.5,32.5,67.33333333333333
2016Q2,342.8333333333333,29.5,255.16666666666666,43.0,8.333333333333334,7.0,51.0,15.5,29.5,32.166666666666664,7.166666666666667,16.166666666666668,13.166666666666666,10.5,11.5,8.166666666666666,12.666666666666666,6.166666666666667,12.833333333333334,16.5,5.166666666666667,34.0,64.16666666666667
2016Q4,355.0,41.666666666666664,265.5,40.833333333333336,9.666666666666666,6.666666666666667,50.333333333333336,18.0,29.833333333333332,30.166666666666668,7.833333333333333,15.666666666666666,14.333333333333334,13.333333333333334,12.166666666666666,7.833333333333333,12.833333333333334,6.833333333333333,12.166666666666666,15.166666666666666,4.5,34.166666666666664,65.16666666666667
